date,neutral_count,sadness_count,anger_count,joy_count,fear_count,total_count,neutral_count_pct,sadness_count_pct,anger_count_pct,joy_count_pct,fear_count_pct
2020-02-01,260,4,4,6,15,289,89.96539792387543,1.384083044982699,1.384083044982699,2.0761245674740483,5.190311418685121
2020-02-02,352,10,7,10,23,402,87.56218905472637,2.4875621890547266,1.7412935323383085,2.4875621890547266,5.721393034825871
2020-02-03,550,16,14,10,15,605,90.9090909090909,2.644628099173554,2.3140495867768593,1.6528925619834711,2.479338842975207
2020-02-04,449,15,3,4,16,487,92.1971252566735,3.0800821355236137,0.6160164271047228,0.8213552361396305,3.285420944558522
2020-02-05,280,6,2,3,7,298,93.95973154362416,2.013422818791946,0.6711409395973155,1.006711409395973,2.348993288590604
2020-02-06,265,10,1,2,3,281,94.30604982206405,3.558718861209965,0.3558718861209964,0.7117437722419928,1.0676156583629894
2020-02-07,243,9,2,1,8,263,92.39543726235742,3.4220532319391634,0.7604562737642585,0.38022813688212925,3.041825095057034
2020-02-08,180,8,1,1,7,197,91.37055837563452,4.060913705583756,0.5076142131979695,0.5076142131979695,3.5532994923857872
2020-02-09,218,4,2,0,5,229,95.19650655021834,1.7467248908296942,0.8733624454148471,0.0,2.1834061135371177
2020-02-10,162,3,2,1,2,170,95.29411764705881,1.7647058823529411,1.1764705882352942,0.5882352941176471,1.1764705882352942
2020-02-11,150,1,2,1,3,157,95.54140127388536,0.6369426751592357,1.2738853503184715,0.6369426751592357,1.910828025477707
2020-02-12,149,3,2,1,5,160,93.125,1.875,1.25,0.625,3.125
2020-02-13,190,2,0,0,6,198,95.95959595959596,1.0101010101010102,0.0,0.0,3.0303030303030303
2020-02-14,119,4,1,0,1,125,95.19999999999999,3.2,0.8,0.0,0.8
2020-02-15,151,3,2,0,1,157,96.17834394904459,1.910828025477707,1.2738853503184715,0.0,0.6369426751592357
2020-02-16,127,2,3,0,5,137,92.7007299270073,1.4598540145985401,2.18978102189781,0.0,3.64963503649635
2020-02-17,120,6,1,0,4,131,91.6030534351145,4.580152671755725,0.7633587786259541,0.0,3.0534351145038165
2020-02-18,245,8,0,0,1,254,96.45669291338582,3.149606299212598,0.0,0.0,0.39370078740157477
2020-02-19,135,4,0,1,3,143,94.4055944055944,2.797202797202797,0.0,0.6993006993006993,2.097902097902098
2020-02-20,172,3,0,0,2,177,97.17514124293785,1.694915254237288,0.0,0.0,1.1299435028248588
2020-02-21,135,3,0,0,2,140,96.42857142857143,2.142857142857143,0.0,0.0,1.4285714285714286
2020-02-22,102,5,1,0,3,111,91.8918918918919,4.504504504504505,0.9009009009009009,0.0,2.7027027027027026
2020-02-23,111,4,4,2,2,123,90.2439024390244,3.2520325203252036,3.2520325203252036,1.6260162601626018,1.6260162601626018
2020-02-24,102,7,2,1,8,120,85.0,5.833333333333333,1.6666666666666667,0.8333333333333334,6.666666666666667
2020-02-25,94,3,2,1,2,102,92.15686274509804,2.941176470588235,1.9607843137254901,0.9803921568627451,1.9607843137254901
2020-02-26,117,7,3,5,11,143,81.81818181818183,4.895104895104895,2.097902097902098,3.4965034965034967,7.6923076923076925
2020-02-27,147,12,1,3,5,168,87.5,7.142857142857142,0.5952380952380952,1.7857142857142856,2.976190476190476
2020-02-28,152,12,5,3,10,182,83.51648351648352,6.593406593406594,2.7472527472527473,1.6483516483516485,5.4945054945054945
2020-02-29,146,4,2,1,7,160,91.25,2.5,1.25,0.625,4.375
2020-03-01,146,10,2,0,8,166,87.95180722891565,6.024096385542169,1.2048192771084338,0.0,4.819277108433735
2020-03-02,259,22,1,4,9,295,87.79661016949153,7.457627118644068,0.3389830508474576,1.3559322033898304,3.050847457627119
2020-03-03,433,12,8,1,27,481,90.02079002079002,2.494802494802495,1.6632016632016633,0.2079002079002079,5.613305613305614
2020-03-04,480,17,10,4,68,579,82.90155440414507,2.936096718480138,1.7271157167530224,0.690846286701209,11.744386873920552
2020-03-05,485,31,8,7,39,570,85.08771929824562,5.43859649122807,1.4035087719298245,1.2280701754385965,6.842105263157896
2020-03-06,399,29,9,3,37,477,83.64779874213836,6.079664570230608,1.8867924528301887,0.628930817610063,7.756813417190776
2020-03-07,284,23,2,9,25,343,82.79883381924198,6.705539358600583,0.5830903790087464,2.623906705539359,7.288629737609329
2020-03-08,264,28,4,6,39,341,77.41935483870968,8.211143695014663,1.1730205278592376,1.7595307917888565,11.436950146627565
2020-03-09,467,39,11,4,49,570,81.9298245614035,6.842105263157896,1.9298245614035088,0.7017543859649122,8.596491228070176
2020-03-10,329,45,14,12,55,455,72.3076923076923,9.89010989010989,3.076923076923077,2.6373626373626373,12.087912087912088
2020-03-11,391,56,18,13,68,546,71.6117216117216,10.256410256410255,3.296703296703297,2.380952380952381,12.454212454212454
2020-03-12,451,67,15,11,64,608,74.17763157894737,11.019736842105262,2.4671052631578947,1.8092105263157896,10.526315789473683
2020-03-13,509,80,46,15,107,757,67.23910171730515,10.568031704095112,6.07661822985469,1.9815059445178336,14.134742404227213
2020-03-14,589,89,39,17,154,888,66.32882882882883,10.022522522522523,4.391891891891892,1.9144144144144142,17.34234234234234
2020-03-15,590,89,60,25,150,914,64.55142231947484,9.737417943107221,6.564551422319474,2.735229759299781,16.411378555798688
2020-03-16,840,129,78,29,239,1315,63.87832699619772,9.809885931558936,5.931558935361217,2.2053231939163496,18.17490494296578
2020-03-17,928,170,74,49,221,1442,64.35506241331484,11.789181692094314,5.131761442441054,3.3980582524271843,15.325936199722607
2020-03-18,455,95,49,20,116,735,61.904761904761905,12.925170068027212,6.666666666666667,2.7210884353741496,15.782312925170066
2020-03-19,417,102,55,10,112,696,59.91379310344828,14.655172413793101,7.902298850574713,1.4367816091954022,16.091954022988507
2020-03-20,573,143,92,46,207,1061,54.00565504241281,13.477851083883131,8.671065032987748,4.335532516493874,19.50989632422243
2020-03-21,526,137,74,27,195,959,54.848800834202294,14.285714285714285,7.716371220020855,2.815432742440042,20.333680917622523
2020-03-22,878,238,91,91,280,1578,55.64005069708492,15.082382762991129,5.766793409378961,5.766793409378961,17.743979721166035
2020-03-23,1395,367,186,154,569,2671,52.22763010108573,13.740172220142268,6.963684013478098,5.765630849868963,21.302882815424933
2020-03-24,1118,355,190,165,548,2376,47.053872053872055,14.941077441077441,7.9966329966329965,6.944444444444445,23.063973063973066
2020-03-25,809,217,96,84,303,1509,53.61166335321405,14.380384360503646,6.36182902584493,5.566600397614314,20.07952286282306
2020-03-26,1577,449,135,200,562,2923,53.95141977420459,15.36093055080397,4.618542593226137,6.842285323297983,19.226821758467327
2020-03-27,1264,368,140,146,516,2434,51.93097781429745,15.119145439605589,5.751848808545604,5.99835661462613,21.199671322925226
2020-03-28,1249,511,186,176,698,2820,44.290780141843975,18.120567375886527,6.595744680851063,6.24113475177305,24.75177304964539
2020-03-29,1123,612,205,242,666,2848,39.4311797752809,21.48876404494382,7.198033707865169,8.497191011235955,23.384831460674157
2020-03-30,1749,686,268,213,779,3695,47.334235453315294,18.565629228687417,7.253044654939107,5.7645466847090665,21.08254397834912
2020-03-31,1632,649,288,201,655,3425,47.64963503649635,18.94890510948905,8.40875912408759,5.868613138686132,19.124087591240876
2020-04-01,1552,641,279,199,649,3320,46.74698795180723,19.307228915662648,8.403614457831326,5.993975903614458,19.548192771084338
2020-04-02,1410,584,363,246,673,3276,43.040293040293044,17.826617826617827,11.08058608058608,7.509157509157509,20.54334554334554
2020-04-03,1294,637,353,214,639,3137,41.24960153012432,20.306024864520243,11.252789289129742,6.821804271597068,20.369780044628627
2020-04-04,1142,562,248,184,560,2696,42.359050445103854,20.845697329376854,9.198813056379821,6.824925816023739,20.77151335311573
2020-04-05,1208,566,320,210,693,2997,40.30697364030698,18.88555221888555,10.677344010677343,7.007007007007007,23.123123123123122
2020-04-06,1831,766,322,222,765,3906,46.87660010240655,19.610855094726062,8.24372759856631,5.683563748079877,19.5852534562212
2020-04-07,1300,723,327,226,769,3345,38.86397608370702,21.614349775784753,9.77578475336323,6.756352765321375,22.989536621823618
2020-04-08,1139,712,396,260,778,3285,34.67275494672755,21.67427701674277,12.054794520547945,7.91476407914764,23.683409436834093
2020-04-09,1172,653,376,195,832,3228,36.30731102850062,20.22924411400248,11.648079306071871,6.04089219330855,25.774473358116477
2020-04-10,1012,514,233,239,691,2689,37.634808478988475,19.11491260691707,8.664931201190033,8.888062476757158,25.697285236147266
2020-04-11,796,588,195,163,594,2336,34.07534246575342,25.17123287671233,8.347602739726028,6.977739726027397,25.42808219178082
2020-04-12,988,475,213,189,434,2299,42.97520661157025,20.66115702479339,9.264897781644194,8.22096563723358,18.877772944758593
2020-04-13,1214,718,268,275,649,3124,38.86043533930858,22.98335467349552,8.578745198463508,8.80281690140845,20.774647887323944
2020-04-14,1146,807,362,625,837,3777,30.341540905480542,21.36616362192216,9.584326184802753,16.547524490336247,22.1604447974583
2020-04-15,965,814,340,232,651,3002,32.145236508994,27.115256495669556,11.325782811459026,7.728181212524983,21.68554297135243
2020-04-16,1113,847,433,299,795,3487,31.918554631488384,24.290220820189273,12.41755090335532,8.574706051046745,22.798967593920274
2020-04-17,876,712,299,247,692,2826,30.997876857749468,25.19462137296532,10.580325548478415,8.740268931351734,24.486907289455058
2020-04-18,919,768,343,231,767,3028,30.350066050198148,25.36327608982827,11.327608982826948,7.628797886393659,25.330250990752972
2020-04-19,934,825,531,230,634,3154,29.613189600507294,26.1572606214331,16.83576410906785,7.2923272035510465,20.10145846544071
2020-04-20,812,666,346,261,527,2612,31.08728943338438,25.497702909647778,13.246554364471669,9.992343032159265,20.17611026033691
2020-04-21,984,870,416,333,681,3284,29.963459196102317,26.492082825822166,12.667478684531059,10.140073081607795,20.736906211936663
2020-04-22,822,719,291,252,615,2699,30.455724342349015,26.639496109670247,10.78177102630604,9.336791404223787,22.786217117450906
2020-04-23,886,792,268,232,682,2860,30.979020979020977,27.692307692307693,9.37062937062937,8.111888111888112,23.846153846153847
2020-04-24,807,655,283,202,518,2465,32.73833671399594,26.57200811359026,11.480730223123732,8.1947261663286,21.01419878296146
2020-04-25,798,699,221,189,512,2419,32.988838362959896,28.896238114923523,9.136006614303431,7.813145928069449,21.165770979743694
2020-04-26,776,848,293,215,582,2714,28.592483419307296,31.245394252026532,10.79587324981577,7.921886514369934,21.44436256448047
2020-04-27,901,754,317,179,553,2704,33.321005917159766,27.884615384615387,11.72337278106509,6.619822485207101,20.451183431952664
2020-04-28,781,730,284,178,534,2507,31.152772237734343,29.118468288791384,11.328280813721578,7.100119664938173,21.30035899481452
2020-04-29,729,824,193,228,498,2472,29.49029126213592,33.33333333333333,7.807443365695793,9.223300970873787,20.145631067961165
2020-04-30,643,771,208,281,451,2354,27.31520815632965,32.75276125743415,8.836023789294817,11.93712829226848,19.158878504672895
